,reward
100,-0.39199461554342363
101,13.05969515239464
102,13.0477114492225
103,13.06518737777883
104,13.060396623673643
105,13.076074154902525
106,-0.4120993268023292
107,13.043763757287767
108,13.070289471427289
109,-0.4117740808164526
110,13.038560116665305
111,13.067310952191297
112,-0.40312655734003244
113,13.048182154008185
114,13.05986740979223
115,13.093129288674461
116,13.076390818063102
117,-0.4159572096198313
118,13.057889534968385
119,13.04392862742068
120,13.055967806952227
121,13.080170063201194
122,12.999014731973643
123,13.045587850928431
124,-0.3922649831883691
125,13.054063471868638
126,13.080811181287801
127,13.036721645334886
128,-0.3683627883269007
129,13.047853614903413
130,13.071118820998333
131,13.092154482709027
132,13.034574816398843
133,-0.37190515465733776
134,13.06198887051431
135,13.069248350550467
136,13.04593557345868
137,13.064066385453657
138,13.05407399275094
139,14.047681821059335
140,13.040049379270986
141,13.056391005506644
142,13.054469869253435
143,13.042325411915405
144,13.062753544122852
145,13.09690727085525
146,13.036770350539772
147,13.069524827691163
148,13.047827436764011
149,13.075047450602465
150,13.062107528009236
151,13.054169662864139
152,-0.40709675335561857
153,13.062159207682676
154,13.057436377499588
155,13.055681766741063
156,13.050505168396079
157,13.060874488395347
158,13.045719177360322
159,13.056754031188547
160,13.048768705670152
161,13.054321215953664
162,13.095013480110037
163,-0.38626316820680506
164,-0.3839102205658542
165,13.055398471942361
166,13.091860467968587
167,13.072275293187896
168,-0.39499789023512255
169,-0.39921906929727957
170,13.068907214890542
171,13.061539807864168
172,13.063200599976529
173,13.03690721763032
174,13.073139689028704
175,13.052530547507715
176,13.0834706810435
177,13.040505257127297
178,13.084004157152904
179,13.074351123687954
180,13.062900360976945
181,13.03595642437605
182,13.046208045787104
183,13.094155323299695
184,13.060868178198582
185,13.059096413118976
186,13.045180846197365
187,13.071340085956862
188,13.05848931922083
189,13.069290513298515
190,13.052342559332082
191,13.07334175705183
192,13.066432905055713
193,13.073037913741736
194,13.057796698344902
195,13.019648422854344
196,13.079847579597887
197,13.058668601055883
198,13.061925781335257
199,13.058911571731482
200,14.0399466956731
201,-0.029342157231317834
202,13.038440714744226
203,13.053740347534783
204,13.067235477307593
205,13.090675463828264
206,13.068610030657155
207,13.034480115895047
208,13.054371538007532
209,13.049917847955067
210,13.093487920808517
211,13.078733050235833
212,14.132100236924588
