,reward
228,13.055061119474464
229,-0.24202135033864114
230,13.061552597527303
231,13.036635084705637
232,13.070349081984173
233,13.057361742501547
234,13.062830523196752
235,13.073716402488593
236,13.059072089925776
237,14.048520016407535
238,13.057601600758026
239,13.051569299146358
240,-0.3877945582157427
241,14.062705269014177
242,13.048168378865775
243,13.0617041800433
244,13.044530335365542
245,14.037160250534187
246,13.019122213236546
247,13.037860456056265
248,13.03634101367319
249,13.044626575885562
250,13.082109937751804
251,13.047315668130793
252,13.058022073857064
253,13.064704383866978
254,13.057721639792142
255,13.050159161658005
256,13.054296744934451
257,13.04873610646809
258,13.039138992519803
259,13.055381308193388
260,13.035200738736895
261,13.04205393591291
262,14.04481251842639
263,13.034312565691549
264,13.067753618748245
265,13.051464524316767
266,13.03956455206513
267,13.044100939385945
268,13.063668205165454
269,13.058435933918329
270,13.04828522720711
271,13.039250556885449
272,13.047538899133398
273,13.040385018973845
274,13.077846528205349
275,13.065956583221492
276,13.056590763119608
277,13.00512533605548
278,13.044397588115007
279,14.040806050947378
280,13.059561997048558
281,-0.9724094951569644
282,13.041767496469923
283,13.0510545459491
284,-0.4142780408190201
285,13.043950719974216
286,13.059818699990085
287,13.05759315116989
288,13.037846405454365
289,13.0403761486198
290,13.03822440049634
291,13.100635865178617
292,13.037505862130933
293,13.04044540315074
294,13.047586516147508
295,13.044003071589596
296,13.045178509768903
297,13.0571022754507
298,13.060373812359884
299,13.054719356814203
300,13.043591864315102
301,13.072205636454482
302,13.041074278966805
303,13.072767866108705
304,13.05445102954442
305,13.049913009267128
306,13.049465753364519
307,13.040301061142557
308,13.061112621134768
309,13.064330625075856
310,13.120276084652234
311,13.050515507984558
312,13.053095135533248
313,13.050242522913262
314,13.043773688073756
315,13.045805904453154
316,13.071448598951157
317,13.05336408883243
318,13.042421180842716
319,13.036458988350194
320,13.040546010084638
321,-0.24792268279503882
322,-0.3882886241323392
323,13.065659064923636
324,13.049350432532574
325,13.049602811219827
326,13.041171380435156
327,13.073961490947642
328,0.017203055480925045
329,13.032404651197943
330,13.038957419101282
331,14.05219743973019
332,13.049091351569569
333,13.057528859640069
334,15.045435150196734
335,13.03443577871277
336,13.044674654273347
337,13.080911626318011
338,-0.08845555054744425
339,13.050334987298548
340,14.036337313181683
341,13.076181362149619
342,13.055560302873406
343,13.04677886483329
344,13.040878948959506
345,13.047913830801674
346,13.033691337496371
347,14.046902425510133
348,13.05685560946225
349,13.038490709197276
350,-0.7197572137897664
351,13.010922373012292
352,-0.7366284155952236
353,-0.14583220049916557
354,13.059160349680646
355,13.067086355456496
356,13.05065658501535
357,13.042660521091928
358,-0.2639384470464575
359,13.077744621720534
360,13.054204135077471
361,13.040455070545125
362,13.045792550333585
363,13.046241616534505
364,13.007508200985328
365,13.046614812513472
366,13.039518108575766
367,13.045801231965195
368,13.046562317389007
369,13.051873247502979
370,13.039021061261746
371,13.054157000090951
372,13.076947406319693
373,0.7209158013874526
374,-0.14455334025835653
375,13.036300008789494
376,0.9719580528983851
377,13.043968286304075
378,-0.3019224700435943
379,-0.3972661348327622
380,-0.1715684220495669
381,0.6673635832836959
382,0.8305928583561264
383,-0.7758885474093424
384,0.8420242491449597
385,0.7192398560966747
386,0.8250775226809338
387,-0.27891667145789234
388,-0.37740872205603504
389,1.0000131130659473
390,13.076391003022959
391,1.0023022123356689
392,0.8115718875945859
393,0.8187271882121157
